"Localidad";"Tipo_gas";"Descripcion";"fecha";"valor";"anio";"mes"
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-10-01;11867;1998;10
"Ushuaia";"Gas de red";"M3";1998-10-01;8609768;1998;10
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-10-01;6186;1998;10
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-10-01;-9;1998;10
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-10-01;-9;1998;10
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-10-01;1302;1998;10
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-10-01;-9;1998;10
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-10-01;311;1998;10
"Tolhuin";"Gas de red";"M3";1998-10-01;285000;1998;10
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-11-01;13519;1998;11
"Rio Grande";"Gas de red";"M3";1998-11-01;12313000;1998;11
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-11-01;164;1998;11
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-11-01;-9;1998;11
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-11-01;-9;1998;11
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-11-01;490;1998;11
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-11-01;-9;1998;11
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-11-01;11909;1998;11
"Ushuaia";"Gas de red";"M3";1998-11-01;7556268;1998;11
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-11-01;5422;1998;11
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-11-01;-9;1998;11
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-11-01;-9;1998;11
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-11-01;1189;1998;11
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-11-01;-9;1998;11
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-11-01;311;1998;11
"Tolhuin";"Gas de red";"M3";1998-11-01;217000;1998;11
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-12-01;13562;1998;12
"Rio Grande";"Gas de red";"M3";1998-12-01;11235000;1998;12
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-12-01;108;1998;12
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-12-01;-9;1998;12
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-12-01;-9;1998;12
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-12-01;424;1998;12
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-12-01;-9;1998;12
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-12-01;11958;1998;12
"Ushuaia";"Gas de red";"M3";1998-12-01;7217976;1998;12
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-12-01;5357;1998;12
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-12-01;-9;1998;12
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-12-01;-9;1998;12
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-12-01;1192;1998;12
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-12-01;-9;1998;12
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-12-01;311;1998;12
"Tolhuin";"Gas de red";"M3";1998-12-01;210000;1998;12
"Rio Grande";"Gas de red";"Promedio de usuarios";1999-01-01;13591;1999;1
"Rio Grande";"Gas de red";"M3";1999-01-01;9100000;1999;1
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-01-01;188;1999;1
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-01-01;-9;1999;1
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-01-01;-9;1999;1
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-01-01;368;1999;1
"Rio Grande";"Gas envasado";"Granel (kg.)";1999-01-01;-9;1999;1
"Ushuaia";"Gas de red";"Promedio de usuarios";1999-01-01;11985;1999;1
"Ushuaia";"Gas de red";"M3";1999-01-01;5957674;1999;1
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-01-01;3079;1999;1
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-01-01;-9;1999;1
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-01-01;-9;1999;1
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-01-01;847;1999;1
"Ushuaia";"Gas envasado";"Granel (kg.)";1999-01-01;-9;1999;1
"Tolhuin";"Gas de red";"Promedio de usuarios";1999-01-01;311;1999;1
"Tolhuin";"Gas de red";"M3";1999-01-01;2e+05;1999;1
"Rio Grande";"Gas de red";"Promedio de usuarios";1999-02-01;13609;1999;2
"Rio Grande";"Gas de red";"M3";1999-02-01;10200000;1999;2
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-02-01;185;1999;2
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-02-01;-9;1999;2
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-02-01;-9;1999;2
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-02-01;221;1999;2
"Rio Grande";"Gas envasado";"Granel (kg.)";1999-02-01;-9;1999;2
"Ushuaia";"Gas de red";"Promedio de usuarios";1999-02-01;12001;1999;2
"Ushuaia";"Gas de red";"M3";1999-02-01;6651768;1999;2
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-02-01;4087;1999;2
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-02-01;-9;1999;2
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-02-01;-9;1999;2
